DHCP_POOL_TEMPLATE dhcp-$a-$b-$c-$d.example.com
#10.1.1.49	UNUSED0A010131.example.com
#10.1.1.50	UNUSED0A010132.example.com
#10.1.1.51	UNUSED0A010133.example.com
#10.1.1.52	UNUSED0A010134.example.com
#10.1.1.53	UNUSED0A010135.example.com
#10.1.1.54	UNUSED0A010136.example.com
#10.1.1.55	UNUSED0A010137.example.com
#10.1.1.56	UNUSED0A010138.example.com
#10.1.1.57	UNUSED0A010139.example.com
#10.1.1.58	UNUSED0A01013A.example.com
#10.1.1.59	UNUSED0A01013B.example.com
#10.1.1.60	UNUSED0A01013C.example.com
#10.1.1.61	UNUSED0A01013D.example.com
#10.1.1.62	UNUSED0A01013E.example.com
#10.1.1.63	UNUSED0A01013F.example.com
#10.1.1.64	UNUSED0A010140.example.com
#10.1.1.65	UNUSED0A010141.example.com
#10.1.1.66	UNUSED0A010142.example.com
#10.1.1.67	UNUSED0A010143.example.com
#10.1.1.68	UNUSED0A010144.example.com
#10.1.1.69	UNUSED0A010145.example.com
#10.1.1.70	UNUSED0A010146.example.com
#10.1.1.71	UNUSED0A010147.example.com
#10.1.1.72	UNUSED0A010148.example.com
#10.1.1.73	UNUSED0A010149.example.com
#10.1.1.74	UNUSED0A01014A.example.com
#10.1.1.75	UNUSED0A01014B.example.com
#10.1.1.76	UNUSED0A01014C.example.com
#10.1.1.77	UNUSED0A01014D.example.com
#10.1.1.78	UNUSED0A01014E.example.com
#10.1.1.79	UNUSED0A01014F.example.com
#10.1.1.80	UNUSED0A010150.example.com
#10.1.1.81	UNUSED0A010151.example.com
#10.1.1.82	UNUSED0A010152.example.com
#10.1.1.83	UNUSED0A010153.example.com
#10.1.1.84	UNUSED0A010154.example.com
#10.1.1.85	UNUSED0A010155.example.com
#10.1.1.86	UNUSED0A010156.example.com
#10.1.1.87	UNUSED0A010157.example.com
#10.1.1.88	UNUSED0A010158.example.com
#10.1.1.89	UNUSED0A010159.example.com
#10.1.1.90	UNUSED0A01015A.example.com
#10.1.1.91	UNUSED0A01015B.example.com
#10.1.1.92	UNUSED0A01015C.example.com
#10.1.1.93	UNUSED0A01015D.example.com
#10.1.1.94	UNUSED0A01015E.example.com
#10.1.1.95	UNUSED0A01015F.example.com
#10.1.1.96	UNUSED0A010160.example.com
#10.1.1.97	UNUSED0A010161.example.com
#10.1.1.98	UNUSED0A010162.example.com
#10.1.1.99	UNUSED0A010163.example.com
#10.1.1.100	UNUSED0A010164.example.com
#10.1.1.101	UNUSED0A010165.example.com
#10.1.1.102	UNUSED0A010166.example.com
#10.1.1.103	UNUSED0A010167.example.com
#10.1.1.104	UNUSED0A010168.example.com
#10.1.1.105	UNUSED0A010169.example.com
#10.1.1.106	UNUSED0A01016A.example.com
#10.1.1.107	UNUSED0A01016B.example.com
#10.1.1.108	UNUSED0A01016C.example.com
#10.1.1.109	UNUSED0A01016D.example.com
#10.1.1.110	UNUSED0A01016E.example.com
#10.1.1.111	UNUSED0A01016F.example.com
#10.1.1.112	UNUSED0A010170.example.com
#10.1.1.113	UNUSED0A010171.example.com
#10.1.1.114	UNUSED0A010172.example.com
#10.1.1.115	UNUSED0A010173.example.com
#10.1.1.116	UNUSED0A010174.example.com
#10.1.1.117	UNUSED0A010175.example.com
#10.1.1.118	UNUSED0A010176.example.com
#10.1.1.119	UNUSED0A010177.example.com
#10.1.1.120	UNUSED0A010178.example.com
#10.1.1.121	UNUSED0A010179.example.com
#10.1.1.122	UNUSED0A01017A.example.com
#10.1.1.123	UNUSED0A01017B.example.com
#10.1.1.124	UNUSED0A01017C.example.com
#10.1.1.125	UNUSED0A01017D.example.com
#10.1.1.126	UNUSED0A01017E.example.com
#10.1.1.127	UNUSED0A01017F.example.com
#10.1.1.128	UNUSED0A010180.example.com
#10.1.1.129	UNUSED0A010181.example.com
#10.1.1.130	UNUSED0A010182.example.com
#10.1.1.131	UNUSED0A010183.example.com
#10.1.1.132	UNUSED0A010184.example.com
#10.1.1.133	UNUSED0A010185.example.com
#10.1.1.134	UNUSED0A010186.example.com
#10.1.1.135	UNUSED0A010187.example.com
#10.1.1.136	UNUSED0A010188.example.com
#10.1.1.137	UNUSED0A010189.example.com
#10.1.1.138	UNUSED0A01018A.example.com
#10.1.1.139	UNUSED0A01018B.example.com
10.1.1.140	DHCP_POOL
10.1.1.141	DHCP_POOL
10.1.1.142	DHCP_POOL
10.1.1.143	DHCP_POOL
10.1.1.144	DHCP_POOL
10.1.1.145	DHCP_POOL
10.1.1.146	DHCP_POOL
10.1.1.147	DHCP_POOL
10.1.1.148	DHCP_POOL
10.1.1.149	DHCP_POOL
10.1.1.150	DHCP_POOL
10.1.1.151	DHCP_POOL
10.1.1.152	DHCP_POOL
10.1.1.153	DHCP_POOL
10.1.1.154	DHCP_POOL
10.1.1.155	DHCP_POOL
10.1.1.156	DHCP_POOL
10.1.1.157	DHCP_POOL
10.1.1.158	DHCP_POOL
10.1.1.159	DHCP_POOL
10.1.1.160	DHCP_POOL
10.1.1.161	DHCP_POOL
10.1.1.162	DHCP_POOL
10.1.1.163	DHCP_POOL
10.1.1.164	DHCP_POOL
10.1.1.165	DHCP_POOL
10.1.1.166	DHCP_POOL
10.1.1.167	DHCP_POOL
10.1.1.168	DHCP_POOL
10.1.1.169	DHCP_POOL
10.1.1.170	DHCP_POOL
10.1.1.171	DHCP_POOL
10.1.1.172	DHCP_POOL
10.1.1.173	DHCP_POOL
10.1.1.174	DHCP_POOL
10.1.1.175	DHCP_POOL
10.1.1.176	DHCP_POOL
10.1.1.177	DHCP_POOL
10.1.1.178	DHCP_POOL
10.1.1.179	DHCP_POOL
10.1.1.180	DHCP_POOL
10.1.1.181	DHCP_POOL
10.1.1.182	DHCP_POOL
10.1.1.183	DHCP_POOL
10.1.1.184	DHCP_POOL
10.1.1.185	DHCP_POOL
10.1.1.186	DHCP_POOL
10.1.1.187	DHCP_POOL
10.1.1.188	DHCP_POOL
10.1.1.189	DHCP_POOL
10.1.1.190	DHCP_POOL
10.1.1.191	DHCP_POOL
10.1.1.192	DHCP_POOL
10.1.1.193	DHCP_POOL
10.1.1.194	DHCP_POOL
10.1.1.195	DHCP_POOL
10.1.1.196	DHCP_POOL
10.1.1.197	DHCP_POOL
10.1.1.198	DHCP_POOL
10.1.1.199	DHCP_POOL
10.1.1.200	DHCP_POOL
10.1.1.201	DHCP_POOL
10.1.1.202	DHCP_POOL
10.1.1.203	DHCP_POOL
10.1.1.204	DHCP_POOL
10.1.1.205	DHCP_POOL
10.1.1.206	DHCP_POOL
10.1.1.207	DHCP_POOL
10.1.1.208	DHCP_POOL
10.1.1.209	DHCP_POOL
10.1.1.210	DHCP_POOL
10.1.1.211	DHCP_POOL
10.1.1.212	DHCP_POOL
10.1.1.213	DHCP_POOL
10.1.1.214	DHCP_POOL
10.1.1.215	DHCP_POOL
10.1.1.216	DHCP_POOL
10.1.1.217	DHCP_POOL
10.1.1.218	DHCP_POOL
10.1.1.219	DHCP_POOL
10.1.1.220	DHCP_POOL
10.1.1.221	DHCP_POOL
10.1.1.222	DHCP_POOL
10.1.1.223	DHCP_POOL
10.1.1.224	DHCP_POOL
10.1.1.225	DHCP_POOL
10.1.1.226	DHCP_POOL
10.1.1.227	DHCP_POOL
10.1.1.228	DHCP_POOL
10.1.1.229	DHCP_POOL
10.1.1.230	DHCP_POOL
10.1.1.231	DHCP_POOL
10.1.1.232	DHCP_POOL
10.1.1.233	DHCP_POOL
10.1.1.234	DHCP_POOL
10.1.1.235	DHCP_POOL
10.1.1.236	DHCP_POOL
10.1.1.237	DHCP_POOL
10.1.1.238	DHCP_POOL
10.1.1.239	DHCP_POOL
10.1.1.240	DHCP_POOL
10.1.1.241	DHCP_POOL
10.1.1.242	DHCP_POOL
10.1.1.243	DHCP_POOL
10.1.1.244	DHCP_POOL
10.1.1.245	DHCP_POOL
10.1.1.246	DHCP_POOL
10.1.1.247	DHCP_POOL
10.1.1.248	DHCP_POOL
10.1.1.249	DHCP_POOL
10.1.1.250	DHCP_POOL
#10.1.1.250	UNUSED0A0101FA.example.com
#10.1.1.251	UNUSED0A0101FB.example.com
#10.1.1.252	UNUSED0A0101FC.example.com
#10.1.1.253	UNUSED0A0101FD.example.com
#10.1.1.254	UNUSED0A0101FE.example.com
#10.1.1.255	UNUSED0A0101FF.example.com
64.32.179.0	ex4020B300.example.com@EXTERNAL
64.32.179.1	ex4020B301.example.com@EXTERNAL
64.32.179.2	ex4020B302.example.com@EXTERNAL
64.32.179.3	ex4020B303.example.com@EXTERNAL
64.32.179.4	ex4020B304.example.com@EXTERNAL
64.32.179.5	ex4020B305.example.com@EXTERNAL
64.32.179.6	ex4020B306.example.com@EXTERNAL
64.32.179.7	ex4020B307.example.com@EXTERNAL
64.32.179.8	ex4020B308.example.com@EXTERNAL
64.32.179.9	ex4020B309.example.com@EXTERNAL
64.32.179.10	ex4020B30A.example.com@EXTERNAL
64.32.179.11	ex4020B30B.example.com@EXTERNAL
64.32.179.12	ex4020B30C.example.com@EXTERNAL
64.32.179.13	ex4020B30D.example.com@EXTERNAL
64.32.179.14	ex4020B30E.example.com@EXTERNAL
64.32.179.15	ex4020B30F.example.com@EXTERNAL
64.32.179.16	ex4020B310.example.com@EXTERNAL
64.32.179.17	ex4020B311.example.com@EXTERNAL
64.32.179.18	ex4020B312.example.com@EXTERNAL
64.32.179.19	ex4020B313.example.com@EXTERNAL
64.32.179.20	ex4020B314.example.com@EXTERNAL
64.32.179.21	ex4020B315.example.com@EXTERNAL
64.32.179.22	ex4020B316.example.com@EXTERNAL
64.32.179.23	ex4020B317.example.com@EXTERNAL
64.32.179.24	ex4020B318.example.com@EXTERNAL
64.32.179.25	ex4020B319.example.com@EXTERNAL
64.32.179.26	ex4020B31A.example.com@EXTERNAL
64.32.179.27	ex4020B31B.example.com@EXTERNAL
64.32.179.28	ex4020B31C.example.com@EXTERNAL
64.32.179.29	ex4020B31D.example.com@EXTERNAL
64.32.179.30	ex4020B31E.example.com@EXTERNAL
64.32.179.31	ex4020B31F.example.com@EXTERNAL
64.32.179.32	ex4020B320.example.com@EXTERNAL
64.32.179.33	ex4020B321.example.com@EXTERNAL
64.32.179.34	ex4020B322.example.com@EXTERNAL
64.32.179.35	ex4020B323.example.com@EXTERNAL
64.32.179.36	ex4020B324.example.com@EXTERNAL
64.32.179.37	ex4020B325.example.com@EXTERNAL
64.32.179.38	ex4020B326.example.com@EXTERNAL
64.32.179.39	ex4020B327.example.com@EXTERNAL
64.32.179.40	ex4020B328.example.com@EXTERNAL
64.32.179.41	ex4020B329.example.com@EXTERNAL
64.32.179.42	ex4020B32A.example.com@EXTERNAL
64.32.179.43	ex4020B32B.example.com@EXTERNAL
64.32.179.44	ex4020B32C.example.com@EXTERNAL
64.32.179.45	ex4020B32D.example.com@EXTERNAL
64.32.179.46	ex4020B32E.example.com@EXTERNAL
64.32.179.47	ex4020B32F.example.com@EXTERNAL
64.32.179.48	ex4020B330.example.com@EXTERNAL
64.32.179.49	ex4020B331.example.com@EXTERNAL
64.32.179.50	ex4020B332.example.com@EXTERNAL
64.32.179.51	ex4020B333.example.com@EXTERNAL
64.32.179.52	ex4020B334.example.com@EXTERNAL
64.32.179.53	ex4020B335.example.com@EXTERNAL
64.32.179.54	ex4020B336.example.com@EXTERNAL
64.32.179.55	ex4020B337.example.com@EXTERNAL
64.32.179.56	ex4020B338.example.com@EXTERNAL
64.32.179.57	ex4020B339.example.com@EXTERNAL
64.32.179.58	ex4020B33A.example.com@EXTERNAL
64.32.179.59	ex4020B33B.example.com@EXTERNAL
64.32.179.60	ex4020B33C.example.com@EXTERNAL
64.32.179.61	ex4020B33D.example.com@EXTERNAL
64.32.179.62	ex4020B33E.example.com@EXTERNAL
64.32.179.63	ex4020B33F.example.com@EXTERNAL
64.32.179.64	ex4020B340.example.com@EXTERNAL
64.32.179.65	ex4020B341.example.com@EXTERNAL
64.32.179.66	ex4020B342.example.com@EXTERNAL
64.32.179.67	ex4020B343.example.com@EXTERNAL
64.32.179.68	ex4020B344.example.com@EXTERNAL
64.32.179.69	ex4020B345.example.com@EXTERNAL
64.32.179.70	ex4020B346.example.com@EXTERNAL
64.32.179.71	ex4020B347.example.com@EXTERNAL
64.32.179.72	ex4020B348.example.com@EXTERNAL
64.32.179.73	ex4020B349.example.com@EXTERNAL
64.32.179.74	ex4020B34A.example.com@EXTERNAL
64.32.179.75	ex4020B34B.example.com@EXTERNAL
64.32.179.76	ex4020B34C.example.com@EXTERNAL
64.32.179.77	ex4020B34D.example.com@EXTERNAL
64.32.179.78	ex4020B34E.example.com@EXTERNAL
64.32.179.79	ex4020B34F.example.com@EXTERNAL
64.32.179.80	ex4020B350.example.com@EXTERNAL
64.32.179.81	ex4020B351.example.com@EXTERNAL
64.32.179.82	ex4020B352.example.com@EXTERNAL
64.32.179.83	ex4020B353.example.com@EXTERNAL
64.32.179.84	ex4020B354.example.com@EXTERNAL
64.32.179.85	ex4020B355.example.com@EXTERNAL
64.32.179.86	ex4020B356.example.com@EXTERNAL
64.32.179.87	ex4020B357.example.com@EXTERNAL
64.32.179.88	ex4020B358.example.com@EXTERNAL
64.32.179.89	ex4020B359.example.com@EXTERNAL
64.32.179.90	ex4020B35A.example.com@EXTERNAL
64.32.179.91	ex4020B35B.example.com@EXTERNAL
64.32.179.92	ex4020B35C.example.com@EXTERNAL
64.32.179.93	ex4020B35D.example.com@EXTERNAL
64.32.179.94	ex4020B35E.example.com@EXTERNAL
64.32.179.95	ex4020B35F.example.com@EXTERNAL
64.32.179.96	ex4020B360.example.com@EXTERNAL
64.32.179.97	ex4020B361.example.com@EXTERNAL
64.32.179.98	ex4020B362.example.com@EXTERNAL
64.32.179.99	ex4020B363.example.com@EXTERNAL
64.32.179.100	ex4020B364.example.com@EXTERNAL
64.32.179.101	ex4020B365.example.com@EXTERNAL
64.32.179.102	ex4020B366.example.com@EXTERNAL
64.32.179.103	ex4020B367.example.com@EXTERNAL
64.32.179.104	ex4020B368.example.com@EXTERNAL
64.32.179.105	ex4020B369.example.com@EXTERNAL
64.32.179.106	ex4020B36A.example.com@EXTERNAL
64.32.179.107	ex4020B36B.example.com@EXTERNAL
64.32.179.108	ex4020B36C.example.com@EXTERNAL
64.32.179.109	ex4020B36D.example.com@EXTERNAL
64.32.179.110	ex4020B36E.example.com@EXTERNAL
64.32.179.111	ex4020B36F.example.com@EXTERNAL
64.32.179.112	ex4020B370.example.com@EXTERNAL
64.32.179.113	ex4020B371.example.com@EXTERNAL
64.32.179.114	ex4020B372.example.com@EXTERNAL
64.32.179.115	ex4020B373.example.com@EXTERNAL
64.32.179.116	ex4020B374.example.com@EXTERNAL
64.32.179.117	ex4020B375.example.com@EXTERNAL
64.32.179.118	ex4020B376.example.com@EXTERNAL
64.32.179.119	ex4020B377.example.com@EXTERNAL
64.32.179.120	ex4020B378.example.com@EXTERNAL
64.32.179.121	ex4020B379.example.com@EXTERNAL
64.32.179.122	ex4020B37A.example.com@EXTERNAL
64.32.179.123	ex4020B37B.example.com@EXTERNAL
64.32.179.124	ex4020B37C.example.com@EXTERNAL
64.32.179.125	ex4020B37D.example.com@EXTERNAL
64.32.179.126	ex4020B37E.example.com@EXTERNAL
64.32.179.127	ex4020B37F.example.com@EXTERNAL
64.32.179.128	ex4020B380.example.com@EXTERNAL
64.32.179.129	ex4020B381.example.com@EXTERNAL
64.32.179.130	ex4020B382.example.com@EXTERNAL
64.32.179.131	ex4020B383.example.com@EXTERNAL
64.32.179.132	ex4020B384.example.com@EXTERNAL
64.32.179.133	ex4020B385.example.com@EXTERNAL
64.32.179.134	ex4020B386.example.com@EXTERNAL
64.32.179.135	ex4020B387.example.com@EXTERNAL
64.32.179.136	ex4020B388.example.com@EXTERNAL
64.32.179.137	ex4020B389.example.com@EXTERNAL
64.32.179.138	ex4020B38A.example.com@EXTERNAL
64.32.179.139	ex4020B38B.example.com@EXTERNAL
64.32.179.140	ex4020B38C.example.com@EXTERNAL
64.32.179.141	ex4020B38D.example.com@EXTERNAL
64.32.179.142	ex4020B38E.example.com@EXTERNAL
64.32.179.143	ex4020B38F.example.com@EXTERNAL
64.32.179.144	ex4020B390.example.com@EXTERNAL
64.32.179.145	ex4020B391.example.com@EXTERNAL
64.32.179.146	ex4020B392.example.com@EXTERNAL
64.32.179.147	ex4020B393.example.com@EXTERNAL
64.32.179.148	ex4020B394.example.com@EXTERNAL
64.32.179.149	ex4020B395.example.com@EXTERNAL
64.32.179.150	ex4020B396.example.com@EXTERNAL
64.32.179.151	ex4020B397.example.com@EXTERNAL
64.32.179.152	ex4020B398.example.com@EXTERNAL
64.32.179.153	ex4020B399.example.com@EXTERNAL
64.32.179.154	ex4020B39A.example.com@EXTERNAL
64.32.179.155	ex4020B39B.example.com@EXTERNAL
64.32.179.156	ex4020B39C.example.com@EXTERNAL
64.32.179.157	ex4020B39D.example.com@EXTERNAL
64.32.179.158	ex4020B39E.example.com@EXTERNAL
64.32.179.159	ex4020B39F.example.com@EXTERNAL
64.32.179.160	ex4020B3A0.example.com@EXTERNAL
64.32.179.161	ex4020B3A1.example.com@EXTERNAL
64.32.179.162	ex4020B3A2.example.com@EXTERNAL
64.32.179.163	ex4020B3A3.example.com@EXTERNAL
64.32.179.164	ex4020B3A4.example.com@EXTERNAL
64.32.179.165	ex4020B3A5.example.com@EXTERNAL
64.32.179.166	ex4020B3A6.example.com@EXTERNAL
64.32.179.167	ex4020B3A7.example.com@EXTERNAL
64.32.179.168	ex4020B3A8.example.com@EXTERNAL
64.32.179.169	ex4020B3A9.example.com@EXTERNAL
64.32.179.170	ex4020B3AA.example.com@EXTERNAL
64.32.179.171	ex4020B3AB.example.com@EXTERNAL
64.32.179.172	ex4020B3AC.example.com@EXTERNAL
64.32.179.173	ex4020B3AD.example.com@EXTERNAL
64.32.179.174	ex4020B3AE.example.com@EXTERNAL
64.32.179.175	ex4020B3AF.example.com@EXTERNAL
64.32.179.176	ex4020B3B0.example.com@EXTERNAL
64.32.179.177	ex4020B3B1.example.com@EXTERNAL
64.32.179.178	ex4020B3B2.example.com@EXTERNAL
64.32.179.179	ex4020B3B3.example.com@EXTERNAL
64.32.179.180	ex4020B3B4.example.com@EXTERNAL
64.32.179.181	ex4020B3B5.example.com@EXTERNAL
64.32.179.182	ex4020B3B6.example.com@EXTERNAL
64.32.179.183	ex4020B3B7.example.com@EXTERNAL
64.32.179.184	ex4020B3B8.example.com@EXTERNAL
64.32.179.185	ex4020B3B9.example.com@EXTERNAL
64.32.179.186	ex4020B3BA.example.com@EXTERNAL
64.32.179.187	ex4020B3BB.example.com@EXTERNAL
64.32.179.188	ex4020B3BC.example.com@EXTERNAL
64.32.179.189	ex4020B3BD.example.com@EXTERNAL
64.32.179.190	ex4020B3BE.example.com@EXTERNAL
64.32.179.191	ex4020B3BF.example.com@EXTERNAL
64.32.179.192	ex4020B3C0.example.com@EXTERNAL
64.32.179.193	ex4020B3C1.example.com@EXTERNAL
64.32.179.194	ex4020B3C2.example.com@EXTERNAL
64.32.179.195	ex4020B3C3.example.com@EXTERNAL
64.32.179.196	ex4020B3C4.example.com@EXTERNAL
64.32.179.197	ex4020B3C5.example.com@EXTERNAL
64.32.179.198	ex4020B3C6.example.com@EXTERNAL
64.32.179.199	ex4020B3C7.example.com@EXTERNAL
64.32.179.200	ex4020B3C8.example.com@EXTERNAL
64.32.179.201	ex4020B3C9.example.com@EXTERNAL
64.32.179.202	ex4020B3CA.example.com@EXTERNAL
64.32.179.203	ex4020B3CB.example.com@EXTERNAL
64.32.179.204	ex4020B3CC.example.com@EXTERNAL
64.32.179.205	ex4020B3CD.example.com@EXTERNAL
64.32.179.206	ex4020B3CE.example.com@EXTERNAL
64.32.179.207	ex4020B3CF.example.com@EXTERNAL
64.32.179.208	ex4020B3D0.example.com@EXTERNAL
64.32.179.209	ex4020B3D1.example.com@EXTERNAL
64.32.179.210	ex4020B3D2.example.com@EXTERNAL
64.32.179.211	ex4020B3D3.example.com@EXTERNAL
64.32.179.212	ex4020B3D4.example.com@EXTERNAL
64.32.179.213	ex4020B3D5.example.com@EXTERNAL
64.32.179.214	ex4020B3D6.example.com@EXTERNAL
64.32.179.215	ex4020B3D7.example.com@EXTERNAL
64.32.179.216	ex4020B3D8.example.com@EXTERNAL
64.32.179.217	ex4020B3D9.example.com@EXTERNAL
64.32.179.218	ex4020B3DA.example.com@EXTERNAL
64.32.179.219	ex4020B3DB.example.com@EXTERNAL
64.32.179.220	ex4020B3DC.example.com@EXTERNAL
64.32.179.221	ex4020B3DD.example.com@EXTERNAL
64.32.179.222	ex4020B3DE.example.com@EXTERNAL
64.32.179.223	ex4020B3DF.example.com@EXTERNAL
64.32.179.224	ex4020B3E0.example.com@EXTERNAL
64.32.179.225	ex4020B3E1.example.com@EXTERNAL
64.32.179.226	ex4020B3E2.example.com@EXTERNAL
64.32.179.227	ex4020B3E3.example.com@EXTERNAL
64.32.179.228	ex4020B3E4.example.com@EXTERNAL
64.32.179.229	ex4020B3E5.example.com@EXTERNAL
64.32.179.230	ex4020B3E6.example.com@EXTERNAL
64.32.179.231	ex4020B3E7.example.com@EXTERNAL
64.32.179.232	ex4020B3E8.example.com@EXTERNAL
64.32.179.233	ex4020B3E9.example.com@EXTERNAL
64.32.179.234	ex4020B3EA.example.com@EXTERNAL
64.32.179.235	ex4020B3EB.example.com@EXTERNAL
64.32.179.236	ex4020B3EC.example.com@EXTERNAL
64.32.179.237	ex4020B3ED.example.com@EXTERNAL
64.32.179.238	ex4020B3EE.example.com@EXTERNAL
64.32.179.239	ex4020B3EF.example.com@EXTERNAL
64.32.179.240	ex4020B3F0.example.com@EXTERNAL
64.32.179.241	ex4020B3F1.example.com@EXTERNAL
64.32.179.242	ex4020B3F2.example.com@EXTERNAL
64.32.179.243	ex4020B3F3.example.com@EXTERNAL
64.32.179.244	ex4020B3F4.example.com@EXTERNAL
64.32.179.245	ex4020B3F5.example.com@EXTERNAL
64.32.179.246	ex4020B3F6.example.com@EXTERNAL
64.32.179.247	ex4020B3F7.example.com@EXTERNAL
64.32.179.248	ex4020B3F8.example.com@EXTERNAL
64.32.179.249	ex4020B3F9.example.com@EXTERNAL
64.32.179.250	ex4020B3FA.example.com@EXTERNAL
64.32.179.251	ex4020B3FB.example.com@EXTERNAL
64.32.179.252	ex4020B3FC.example.com@EXTERNAL
64.32.179.253	ex4020B3FD.example.com@EXTERNAL
64.32.179.254	ex4020B3FE.example.com@EXTERNAL
64.32.179.255	ex4020B3FF.example.com@EXTERNAL
